Bleu_1,Bleu_2,Bleu_3,Bleu_4,METEOR,ROUGE_L,CIDEr,Sum,iterations,lbs,novel,unique,usage,ave_length,,,,,,
0.798041134,0.624072929,0.454020945,0.311982653,0.240003329,0.59475296,0.414324689,1.56106363,1,5,0.47458194,0.508695652,343,5.974916388,,0.312003524,0.240007217,0.594533176,0.413091643,1.002984921
0.815651813,0.670946931,0.521675922,0.390530083,0.273067037,0.613498103,0.480941325,1.758036548,2,5,0.427759197,0.5090301,416,6.626421405,,0.39000626,0.272966975,0.613389462,0.480906747,1.000071902
0.814593124,0.678112129,0.539144089,0.412664313,0.281336662,0.618974842,0.49812906,1.811104876,3,5,0.345819398,0.436454849,430,6.709698997,,0.411953001,0.281196533,0.618920177,0.497066036,1.002138598
0.814122602,0.677822919,0.540923523,0.415676475,0.283324138,0.619840232,0.50274985,1.821590695,4,5,0.311705686,0.405351171,419,6.748160535,,0.414737431,0.283312061,0.619799978,0.502088313,1.001317572
0.809622887,0.679214885,0.54647878,0.423418807,0.284828539,0.619782727,0.507419878,1.835449951,5,5,0.26722408,0.357859532,393,6.673578595,,0.42321113,0.2849695,0.61978671,0.507725831,0.999397405
0.8080524,0.677512488,0.545977383,0.424177228,0.285216128,0.62036636,0.507928646,1.837688362,6,5,0.260869565,0.351839465,394,6.687959866,,0.423549895,0.285014856,0.619881908,0.507720131,1.00041069
0.808534002,0.678671552,0.546986141,0.423927804,0.285580957,0.619955592,0.508817503,1.838281856,7,5,0.259866221,0.351505017,397,6.733444816,,0.424055244,0.285567617,0.619615514,0.5089158,0.99980685
0.807862858,0.678503542,0.547041419,0.424903513,0.285274662,0.619148827,0.507784827,1.837111828,8,5,0.251505017,0.344147157,395,6.726421405,,0.424215187,0.285188031,0.61902154,0.507825557,0.999919795
0.807857472,0.678179725,0.546706226,0.424503991,0.284837485,0.618741455,0.506831455,1.834914387,9,5,0.250501672,0.34180602,395,6.714381271,,0.424543351,0.284853509,0.618815254,0.507138085,0.999395373
0.808812801,0.678111239,0.545454312,0.422919402,0.285120686,0.619215861,0.508042649,1.835298597,10,5,0.252508361,0.346488294,398,6.757190635,,0.422900176,0.285017618,0.619117026,0.507853078,1.000373278
